商品管理番号（商品URL）,スマートフォン用商品説明文,PC用販売説明文,SKU管理番号
10030,"<br><br>
 <table width=""300"" bgcolor=""#b3b3b3"" cellspacing=""1"" cellpadding=""3"">
<br>
    <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">名称</font></th>
    <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
    そうざい詰合せ
    </font></td></tr>
    <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">原材料名</font></th>
        <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">セットに含まれる各商品の原材料表示等につきましては、下記リンク先商品ページにてご確認ください。<br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/7600/"">かぼちゃのスープ</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/6170/"">ハンバーグトマトソース</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/9099/"">きのこの和風おろしハンバーグ</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/6190/"">筑前煮</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/9004/"">煮たまご</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/6320/"">和風肉だんご</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/6180/"">ひじき味付</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/6330/"">きんぴらごぼう</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/7690/"">ポークカレー</a><br>
                    ●<a href=""https://item.rakuten.co.jp/chikuya/7660/"">ハッシュドビーフ</a><br>
        </font></td></tr>
    <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">賞味期限</font></th>
    <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
    約30日間<br>商品ラベルをご確認ください
    </font></td></tr>
    <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">保存方法</font></th>
    <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
    10℃以下で保存してください
    </font></td></tr>
    <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">製造者</font></th>
    <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
    株式会社知久<br>静岡県浜松市中央区桜台1-2-1
    </font></td></tr>
    </table>
<br>
 <table width=""300"" bgcolor=""#b3b3b3"" cellspacing=""1"" cellpadding=""3"">
       <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">セット<br>内容</font></th>
        <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
                    ●かぼちゃのスープ×1袋<br>
                    ●ハンバーグトマトソース×1袋<br>
                    ●きのこの和風おろしハンバーグ×1袋<br>
                    ●筑前煮×1袋<br>
                    ●煮たまご×1袋<br>
                    ●和風肉だんご×1袋<br>
                    ●ひじき味付×1袋<br>
                    ●きんぴらごぼう×1袋<br>
                    ●ポークカレー×1袋<br>
                    ●ハッシュドビーフ×1袋<br><br>合計：10袋<br>
        </font></td></tr></table>
<table width=""100%"" align=""center"">
    <tr>
        <td>
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/01-mvb.jpg"" width=""100%"" alt=""人気お惣菜セット"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/shopaward/2508.jpg"" width=""100%"" alt=""ショップ受賞"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ranking/20240717.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/02-setb.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/04-company.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/06-setttl.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/07-set01b.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/08-set02b.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/09-set03b.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/10-kodawari.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/11-howto.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/12-shipping.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/13-gift.jpg"" width=""100%"">
            <!-- <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/14-otherttl.jpg"" width=""100%""> -->
        </td>
    </tr>
</table>
<table width=""100%"" align=""center"">
    <tr>
        <td width=""50%"">
            <a href=""https://item.rakuten.co.jp/chikuya/10022/"">
                <img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/kanren/hahareizo1.jpg"" width=""100%"" alt=""母の日冷蔵惣菜セット"">
            </a>
        </td>
        <td width=""50%"">
            <a href=""https://item.rakuten.co.jp/chikuya/10023/"">
                <img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/kanren/hahareito2.jpg"" width=""100%"" alt=""母の日パンとドリアと冷凍惣菜セット"">
            </a>
        </td>
    </tr>
</table>
<br><br>
<a href=""https://link.rakuten.co.jp/0/133/984/""><img src=""https://image.rakuten.co.jp/chikuya/cabinet/coupon/imgrc0104972494.jpg"" width=""100%"" alt=""LINEクーポン""></a>
<a href=""https://item.rakuten.co.jp/chikuya/c/0000000017/""><img src=""https://image.rakuten.co.jp/chikuya/cabinet/coupon/imgrc0104972502.jpg"" width=""100%"" alt=""レビュークーポン""></a>

<br><br>
<br><br><font size=""1"" color=""#808080"">【関連ワード】<br>惣菜 お惣菜 総菜 そうざい おかず 弁当 お弁当 無添加 手作り お取り寄せ 詰め合わせ セット ギフト プレゼント 贈り物 母の日 父の日 お中元 お歳暮 敬老の日 新生活 一人暮らし 共働き 単身赴任 時短 時短料理 知久屋 ちくや おすすめ 人気 グルメ 食品 朝ごはん 朝ご飯 朝食 お昼ごはん お昼ご飯 昼食 夕ご飯 晩御飯 夕食 真空パック 送料込み お試し 健康志向 時短調理 簡単調理  和食 洋食 スープ かぼちゃ カボチャ 魚 筑前煮 ハンバーグ かぼちゃのスープ かぼちゃスープ おろしハンバーグ きのこ キノコ 煮卵 煮たまご 肉団子 肉だんご ひじき きんぴらごぼう カレー ポークカレー ハッシュドビーフ 煮物 和惣菜 洋惣菜 冷蔵</font>","<table width=""100%"" align=""center"">
    <tr>
        <td>
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/01-mvb.jpg"" width=""100%"" alt=""人気お惣菜セット"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/shopaward/2508.jpg"" width=""100%"" alt=""ショップ受賞"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ranking/20240717.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/02-setb.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/04-company.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/06-setttl.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/07-set01b.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/08-set02b.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/09-set03b.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/10-kodawari.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/11-howto.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/12-shipping.jpg"" width=""100%"">
            <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/13-gift.jpg"" width=""100%"">
            <!-- <img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/14-otherttl.jpg"" width=""100%""> -->
        </td>
    </tr>
</table>
<table width=""100%"" align=""center"">
    <tr>
        <td width=""50%"">
            <a href=""https://item.rakuten.co.jp/chikuya/10022/"">
                <img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/kanren/hahareizo1.jpg"" width=""100%"" alt=""母の日冷蔵惣菜セット"">
            </a>
        </td>
        <td width=""50%"">
            <a href=""https://item.rakuten.co.jp/chikuya/10023/"">
                <img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/kanren/hahareito2.jpg"" width=""100%"" alt=""母の日パンとドリアと冷凍惣菜セット"">
            </a>
        </td>
    </tr>
</table>
<br><br>",
10030,,,10030
10030,,,10030_02
10032,"<table width=""300"" bgcolor=""#b3b3b3"" cellspacing=""1"" cellpadding=""3"">
    <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">名称</font></th>
    <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
    そうざい
    </font></td></tr>
　<tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">原材料名</font></th>
        <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">セットに含まれる各商品の原材料表示等につきましては、下記リンク先商品ページにてご確認ください<br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/7600/"">かぼちゃのスープ</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/6170/"">ハンバーグトマトソース</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/9099/"">きのこの和風おろしハンバーグ</a><br>  
            ●<a href=""https://item.rakuten.co.jp/chikuya/6190/"">筑前煮</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/9009/"">国産鶏つくね</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/9022/"">若鶏照焼</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/9004/"">煮たまご</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/6320/"">和風肉だんご</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/6180/"">ひじき味付</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/6330/"">きんぴらごぼう</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/6683/"">大根のはりはり漬</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/6110/"">五目豆</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/9001/"">からだにおいしい豆サラダ</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/9025/"">自家製マヨネーズで和えたポテトサラダ</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/7110/"">コーンクリームスープ</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/7120/"">野菜たっぷりトマトスープ</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/7660/"">ハッシュドビーフ</a><br>
            ●<a href=""https://item.rakuten.co.jp/chikuya/7690/"">ポークカレー</a><br>
        </font></td></tr>
<tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">賞味期限</font></th>
    <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
    約14日間、20日間、または30日間<br>商品ラベルをご確認ください
    </font></td></tr>
    <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">保存方法</font></th>
    <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
    10℃以下で保存してください
    </font></td></tr>
    <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">製造者</font></th>
    <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
    株式会社知久<br>静岡県浜松市中央区桜台1-2-1
    </font></td></tr>
    </table>
<br>
<table width=""300"" bgcolor=""#b3b3b3"" cellspacing=""1"" cellpadding=""3"">
       <tr><th align=""center"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">セット<br>内容</font></th>
        <td bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
            ●かぼちゃのスープ×1袋<br>
            ●ハンバーグトマトソース×1袋<br>
            ●きのこの和風おろしハンバーグ×1袋<br>
            ●筑前煮×1袋<br>
            ●国産鶏つくね×1袋<br>
            ●若鶏照焼×1袋<br>
            ●煮たまご×1袋<br>
            ●和風肉だんご×1袋<br>
            ●ひじき味付×1袋<br>
            ●きんぴらごぼう×1袋<br>
            ●大根はりはり漬×1袋<br>
            ●五目豆×1袋<br>
            ●からだにおいしい豆サラダ×1袋<br>
            ●自家製マヨネーズで和えたポテトサラダ×1袋<br>
            ●コーンクリームスープ×1袋<br>
            ●野菜たっぷりトマトスープ×1袋<br>
            ●ハッシュドビーフ×1袋<br>
            ●ポークカレー×1袋<br>  合計：18袋<br>
        </font></td></tr></table>
<br>
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/10032_0001_2.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/shopaward/2508.jpg"" width=""100%"" alt=""ショップ受賞"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_10032_1.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_10032_2.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_10032_3.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_0001.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_0002.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_0003.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_0004.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_0005.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_0006.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_0007.jpg"" width=""100%"">
<a href=""https://item.rakuten.co.jp/chikuya/c/0000000017/""><img src=""https://image.rakuten.co.jp/chikuya/cabinet/coupon/imgrc0104972502.jpg"" width=""100%"" alt=""レビュークーポン""></a>
<br><br><table width=""100%"" align=""center"">
    <tr>
        <td width=""50%"">
            <a href=""https://item.rakuten.co.jp/chikuya/10022/"">
                <img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/kanren/hahareizo1.jpg"" width=""100%"" alt=""母の日冷蔵惣菜セット"">
            </a>
        </td>
        <td width=""50%"">
            <a href=""https://item.rakuten.co.jp/chikuya/10023/"">
                <img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/kanren/hahareito2.jpg"" width=""100%"" alt=""母の日パンとドリアと冷凍惣菜セット"">
            </a>
        </td>
    </tr>
</table>
<font size=""1"" color=""#808080"">【関連ワード】<br>惣菜 お惣菜 総菜 そうざい おかず 弁当 お弁当 無添加 手作り お取り寄せ 詰め合わせ セット ギフト プレゼント 贈り物 母の日 父の日 お中元 お歳暮 敬老の日 新生活 一人暮らし 共働き 単身赴任 時短 時短料理 知久屋 ちくや  おすすめ 人気 グルメ 食品 朝ごはん 朝ご飯 朝食 お昼ごはん お昼ご飯 昼食 夕ご飯 晩御飯 夕食 真空パック 送料込み 健康志向 時短調理 簡単調理 和食 洋食 魚 ハンバーグ 煮物 五目豆 ひじき 筑前煮 肉団子 肉だんご きんぴらごぼう はりはり漬 漬物 コーンクリームスープ コーンスープ トマトスープ かぼちゃのスープ かぼちゃスープ ハッシュドビーフ ポークカレー カレー 豆サラダ サラダ 自家製 マヨネーズ ポテトサラダ 煮たまご 煮卵 鶏つくね つくね 照焼 照り焼き てりやき テリヤキ おろしハンバーグ きのこ キノコ 煮物 和惣菜 洋惣菜 冷蔵</font>","<br>
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/10032_0001_2.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/shopaward/2508.jpg"" width=""100%"" alt=""ショップ受賞"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_7600.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_6170.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_9099.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_6190.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_9009_9022.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_9004_6320.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_6180_6330.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_6683_6110.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_9001_9025.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_7110_7120.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/set_reizo/set_7660_7690.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/test_0001.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/test_0003.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/test_0005.jpg"" width=""100%"">
<img src=""https://image.rakuten.co.jp/chikuya/cabinet/ninki-osouzai/14-otherttl.jpg"" width=""100%"">
<table width=""100%"" align=""center"">
    <tr>
        <td width=""50%"">
            <a href=""https://item.rakuten.co.jp/chikuya/10022/"">
                <img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/kanren/hahareizo1.jpg"" width=""100%"" alt=""母の日冷蔵惣菜セット"">
            </a>
        </td>
        <td width=""50%"">
            <a href=""https://item.rakuten.co.jp/chikuya/10023/"">
                <img src=""https://image.rakuten.co.jp/chikuya/cabinet/0000000002/kanren/hahareito2.jpg"" width=""100%"" alt=""母の日パンとドリアと冷凍惣菜セット"">
            </a>
        </td>
    </tr>
</table>
 
<br><br>",
10032,,,10032
,,,
,,,
,,,
,,,
,,,
